Rang,Etablissement,Commune,Note,Filière,Texte
1,Sainte-Geneviève,Versailles,20,BCPST,"Cet établissement privé a présenté 42 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 18,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 3
	- ENS de Lyon : 2
	- ENS Paris-Saclay : 3
	- Ecole polytechnique : 5
	- Mines Paris : 1
	- CentraleSupélec : 1
	- AgroParisTech : 13
	- Oniris : 1
	- VetAgro Sup : 1
	- ENV Alfort : 9
	- ENV Toulouse : 1"
2,Henri IV,Paris 5e,"17,6",BCPST,"Cet établissement public a présenté 41 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 18,2 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 6
	- ENS de Lyon : 3
	- Ecole polytechnique : 1
	- CentraleSupélec : 2
	- Phelma : 1
	- AgroParisTech : 13
	- Bordeaux Sciences Agro : 1
	- Ensaia : 1
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 3
	- ENV Alfort : 1"
3,Saint-Louis,Paris 6e,"16,7",BCPST,"Cet établissement public a présenté 127 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 4
	- Ecole polytechnique : 2
	- CentraleSupélec : 2
	- ESPCI : 1
	- AgroParisTech : 38
	- Bordeaux Sciences Agro : 2
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 6
	- Institut Agro Rennes-Angers : 7
	- Oniris : 9
	- VetAgro Sup : 6
	- ENV Alfort : 16
	- ENV Toulouse : 2"
4,Hoche,Versailles,"15,8",BCPST,"Cet établissement public a présenté 85 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,8 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS Paris-Saclay : 1
	- Ecole polytechnique : 3
	- CentraleSupélec : 4
	- AgroParisTech : 20
	- Bordeaux Sciences Agro : 1
	- Institut Agro Dijon : 3
	- Institut Agro Montpellier : 5
	- Institut Agro Rennes-Angers : 2
	- Oniris : 4
	- VetAgro Sup : 5
	- ENV Alfort : 6
	- ENV Toulouse : 2"
5,Janson de Sailly,Paris 16e,"15,7",BCPST,"Cet établissement public a présenté 88 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,7 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 3
	- ENS Paris-Saclay : 3
	- Ecole polytechnique : 1
	- CentraleSupélec : 1
	- Phelma : 1
	- AgroParisTech : 16
	- Bordeaux Sciences Agro : 1
	- Ensaia : 5
	- Ensat : 3
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 2
	- Institut Agro Rennes-Angers : 6
	- Oniris : 6
	- VetAgro Sup : 3
	- ENV Alfort : 7
	- ENV Toulouse : 2"
6,Champollion,Grenoble,"15,6",BCPST,"Cet établissement public a présenté 84 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 16,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 1
	- ENS de Lyon : 1
	- ENS Paris-Saclay : 1
	- AgroParisTech : 18
	- Bordeaux Sciences Agro : 2
	- Ensat : 2
	- Institut Agro Dijon : 2
	- Institut Agro Montpellier : 10
	- Institut Agro Rennes-Angers : 5
	- Oniris : 4
	- VetAgro Sup : 9
	- ENV Toulouse : 5"
7,Le Parc,Lyon 6e,"15,5",BCPST,"Cet établissement public a présenté 138 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,6 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS Ulm : 3
	- ENS de Lyon : 3
	- ENS Paris-Saclay : 2
	- Ecole polytechnique : 1
	- CentraleSupélec : 1
	- AgroParisTech : 23
	- Bordeaux Sciences Agro : 1
	- Ensat : 4
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 13
	- Institut Agro Rennes-Angers : 1
	- Oniris : 4
	- VetAgro Sup : 28
	- ENV Alfort : 2
	- ENV Toulouse : 2"
8,Louis Pasteur,Lempdes,"14,9",BCPST,"Cet établissement public a présenté 27 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,1 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- Chimie ParisTech : 1
	- AgroParisTech : 7
	- Bordeaux Sciences Agro : 1
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 1
	- VetAgro Sup : 4
	- ENV Toulouse : 1"
8,Pierre de Fermat,Toulouse,"14,9",BCPST,"Cet établissement public a présenté 95 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 17,3 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 4
	- ENS Paris-Saclay : 1
	- Télécom SudParis : 1
	- AgroParisTech : 13
	- Bordeaux Sciences Agro : 3
	- Ensaia : 1
	- Ensat : 8
	- Institut Agro Montpellier : 6
	- Institut Agro Rennes-Angers : 3
	- Oniris : 2
	- VetAgro Sup : 7
	- ENV Alfort : 2
	- ENV Toulouse : 11"
10,Jean-Baptiste Say,Paris 16e,"14,8",BCPST,"Cet établissement public a présenté 27 candidats en BCPST en 2023. Leur moyenne au bac est estimée à 15,5 sur 20.

Nombre d'intégrés dans les meilleures écoles :
	- ENS de Lyon : 1
	- AgroParisTech : 7
	- Bordeaux Sciences Agro : 2
	- Ensat : 3
	- Institut Agro Dijon : 1
	- Institut Agro Montpellier : 1
	- Institut Agro Rennes-Angers : 2
	- Oniris : 1
	- ENV Alfort : 1"
